transaction_id,account_id,amount,currency,transaction_time,channel,details_json
53842aa9-4327-d17d-ca77-39c8ecb1ef8f,c3e49f13-0133-e244-c470-3d1f07fd4a71,9366.58,CNY,2026-04-28T09:17:00+08:00,call_center,"{""purpose_code"": ""BILL_PAY"", ""counterparty"": {""type"": ""CORPORATE"", ""country"": ""CN""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""INSTANT""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""CN"", ""age"": ""66"", ""account_type"": ""savings""}}"
8cd87b90-8933-a8f8-49db-ee1ec910cc87,83fae2d9-43e9-1756-3a9f-a891acd7055f,6564.33,CNY,2026-02-10T11:47:00+08:00,mobile_app,"{""purpose_code"": ""MERCHANT"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""HK""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""INSTANT""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""HK"", ""age"": ""55"", ""account_type"": ""checking""}}"
3b326fef-2fc3-7109-601a-d2fed69dd550,0c94cc91-ee82-dc20-da90-e2ccbc5006dc,1542.82,CNY,2026-04-30T16:56:00+08:00,mobile_app,"{""purpose_code"": ""P2P"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""CN""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""T0""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""CN"", ""age"": ""46"", ""account_type"": ""savings""}}"
7df6620b-92d3-d243-d19d-b9d8cf0f2d5a,b061e386-a8d9-0533-7c3f-c6141422ff5e,239.66,USD,2026-04-27T13:29:00+08:00,mobile_app,"{""purpose_code"": ""FX_SETTLEMENT"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""US""}, ""settlement"": {""currency"": ""USD"", ""sla_bucket"": ""INSTANT""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""US"", ""age"": ""47"", ""account_type"": ""savings""}}"
2cbdba73-d4ad-7ebe-b505-8ac34de3f5a9,8c478dbc-0edf-6d9f-51c7-8fb5cddb9521,18540.09,CNY,2026-02-26T09:14:00+08:00,mobile_app,"{""purpose_code"": ""FX_SETTLEMENT"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""HK""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""T0""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""HK"", ""age"": ""25"", ""account_type"": ""savings""}}"
b8c42284-e69c-a6ea-52a9-5ca88a28cc16,cf0606a7-7eb6-86c9-4ce5-5555756b79de,6102.69,CNY,2026-03-30T09:09:00+08:00,branch,"{""purpose_code"": ""BILL_PAY"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""GB""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""T0""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""GB"", ""age"": ""30"", ""account_type"": ""checking""}}"
125ae734-59b6-07c2-848a-7ccba8d6b87c,1fdbce6d-2bec-4074-d08a-a9c98d0474e8,77.05,USD,2026-03-10T11:52:00+08:00,mobile_app,"{""purpose_code"": ""FX_SETTLEMENT"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""SG""}, ""settlement"": {""currency"": ""USD"", ""sla_bucket"": ""T1""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""SG"", ""age"": ""70"", ""account_type"": ""savings""}}"
8aafa481-6c2d-d6bf-05f8-83932df67ebd,2db375d2-84ec-32e4-23d8-396e8219ef24,2181.46,USD,2026-04-06T10:43:00+08:00,atm,"{""purpose_code"": ""SALARY"", ""counterparty"": {""type"": ""BANK"", ""country"": ""HK""}, ""settlement"": {""currency"": ""USD"", ""sla_bucket"": ""T1""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""HK"", ""age"": ""55"", ""account_type"": ""savings""}}"
f0f0e8ba-4e9a-6605-1070-2dc3f7618641,317c8a54-b9b4-78ac-37d7-925926113da7,2687.18,CNY,2026-02-14T09:32:00+08:00,web,"{""purpose_code"": ""MERCHANT"", ""counterparty"": {""type"": ""INDIVIDUAL"", ""country"": ""CN""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""T1""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""CN"", ""age"": ""23"", ""account_type"": ""checking""}}"
2ee0759a-7fef-7810-cf9b-85ae100038d7,1f2e4f69-385a-e2c8-5434-1924891d1ce4,2779.85,CNY,2026-03-21T11:41:00+08:00,mobile_app,"{""purpose_code"": ""SALARY"", ""counterparty"": {""type"": ""CORPORATE"", ""country"": ""CN""}, ""settlement"": {""currency"": ""CNY"", ""sla_bucket"": ""T1""}, ""flags"": {""is_reversal"": false, ""is_suspected_fraud"": false}, ""customer_context"": {""country"": ""CN"", ""age"": ""83"", ""account_type"": ""checking""}}"
