lead_id,customer_id,marketing_campaign_id,campaign_source,product_interest,lead_status,lead_score,captured_time,assigned_time,contact_pref_json
4c9760af-37a2-ceaf-e1ce-2ec1722e64fe,b019a087-f1cf-cfc5-4cd0-534205d6a88b,2469f568-f91b-fb2c-b1c6-217094c25992,sms,deposit,converted,38,2026-01-27T15:19:00+08:00,2026-03-14T16:27:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 1, ""variant_token"": 561962}"
fda4dd0e-fd8c-3655-8c07-ca0403dc0f67,659778fa-f601-11a9-ce88-7e955c7d1acb,bc389bf1-5998-4647-204e-fc1686f27725,branch,lending,new,36,2026-01-19T10:14:00+08:00,2026-02-23T12:32:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 2, ""variant_token"": 410229}"
920d7465-327a-3dcc-eb5b-3cd5ad04bd01,c11a3119-c513-ec0a-a5be-18f12795a1d1,31308040-a9b2-75dc-ceef-7f20f2cf0867,branch,deposit,contacted,10,2026-01-27T09:24:00+08:00,2026-01-27T09:24:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 3, ""variant_token"": 882486}"
960251f6-8aae-8119-edc9-7050a92e40b2,82546ae9-4bcd-def0-0be5-7a5a623262c4,4bd868a7-ded2-33e7-2d18-421391f66af5,email,insurance,converted,8,2026-01-15T15:08:00+08:00,2026-02-08T12:40:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 4, ""variant_token"": 403069}"
6ba0947f-f138-a6ec-301e-3e14bbdb102a,f83427fb-57d1-f226-ebac-3a929e948950,f68a6103-ba6b-2f3b-615c-314d7344ac22,branch,deposit,contacted,52,2026-02-03T10:50:00+08:00,2026-02-03T10:50:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 5, ""variant_token"": 640306}"
a5998e8e-be6a-23e6-1696-d5469b8bebbc,1e1b4193-1e70-bb14-47cd-9ad8311f8035,a234ed01-e02f-31eb-d1f1-dc618fe53816,email,deposit,converted,87,2026-01-27T17:55:00+08:00,2026-02-22T13:49:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 6, ""variant_token"": 375229}"
b1e0e3f6-cb05-8d56-3a5c-6a7f275b0899,753d9488-3ca2-2b36-f212-88e5ce84bd44,8c6ea326-3328-d58f-791d-ec9bef89174f,push,deposit,contacted,82,2026-01-05T13:08:00+08:00,2026-01-12T17:46:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 7, ""variant_token"": 809973}"
b2428726-86c9-8440-fd51-18ab66efa30c,c9648d2b-6677-9a78-d1da-68337d610738,d4487a91-b27b-ccd5-1132-7a2107b01034,sms,cards,converted,27,2026-01-20T09:42:00+08:00,2026-02-15T13:15:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 8, ""variant_token"": 465918}"
3a74c24f-cd24-4983-34f3-bc11276f8f32,966d676f-cc8c-3f35-2764-b98b2a7d2fe4,b599f70b-e618-d8ba-11e2-135d0d99959b,email,other,recycled,55,2026-01-19T19:46:00+08:00,2026-03-06T14:19:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 9, ""variant_token"": 870479}"
96e5f8bc-198f-de06-6589-3d8521c53113,da467cf6-891e-8d44-927e-618c1d724675,9f7eb610-2b64-85f1-196e-35c62d6edf4a,sms,deposit,recycled,30,2026-01-01T11:29:00+08:00,2026-01-04T12:01:00+08:00,"{""generator_id"": ""legacy_heuristic_json"", ""payload_intent"": ""synthetic_placeholder_only"", ""table_name"": ""leads"", ""column_name"": ""contact_pref_json"", ""row_index"": 10, ""variant_token"": 980588}"
