sales_opportunity_id,lead_id,customer_id,opportunity_stage,expected_value,win_probability,expected_close_date,actual_close_time,opportunity_json
39741873-fa8c-6afe-0058-ce0bb57fab6c,15914c9e-e91f-779b-8901-5b1d04dcbc8e,e0a51d91-cb11-1773-17da-02287ee44671,solution_presentation,100000,0.70,2026-02-21T10:08:00+08:00,,
d6d5eea4-14b7-facc-0ba9-afee9e0270b0,15914c9e-e91f-779b-8901-5b1d04dcbc8e,e0a51d91-cb11-1773-17da-02287ee44671,prospecting,25000,0.25,2026-01-28T10:09:00+08:00,,
8db98d7c-c523-e246-37b4-3033725ba9a7,6870165b-4c7f-c364-8a84-1d40d75b204a,c46a55c4-ff21-f067-9b3a-ca124c5258b9,solution_presentation,50000,0.70,2026-04-19T14:32:00+08:00,,
558a676b-0b8b-5e0c-753b-c8f9fd84a9bf,b039c7f0-7531-1e29-3d52-92c1f5dfe0b8,2b96043c-d6b8-e9f1-133a-631aaf0dc929,closed_won,250000,0.70,2026-03-19T14:45:00+08:00,2026-03-19T14:45:00+08:00,
e6cdebeb-3171-76ba-4c0f-21fb193a5814,8e0fe6fe-7d33-6c3f-b426-c49b7b1984bd,37beb839-1f5c-a86f-fa53-d522c6f8ff5f,solution_presentation,50000,0.40,2026-02-12T16:15:00+08:00,,
ac430f17-38c6-a4e8-01ec-2201a821a57a,4b9fb12b-4e3a-8b00-bda7-2a9188f204bc,57e46f54-9559-3185-589d-5c035f19c34b,solution_presentation,10000,0.55,2026-03-12T12:10:00+08:00,,
4999db4f-f6c3-b15d-684a-1a9be67552e5,023d3de6-8a42-429d-fb33-78fe82c19ec5,f0dfd609-2747-bb44-275d-f0e8cbd12fc7,needs_analysis,50000,0.55,2026-03-07T17:30:00+08:00,,
eacc5b98-853f-a41d-563a-4d57d66c2057,85360762-dca3-fac0-df58-07ce76db63bd,c1e9cfc6-ba2e-a5bc-46d2-fd3c96bd732f,prospecting,25000,0.10,2026-02-09T18:24:00+08:00,,
a5d005f5-a92e-3e5a-4fe7-eab353a18e4e,c80c1d6a-1add-3e33-239e-f68a3cfaeebc,80b4460f-86a6-42e2-ffeb-c1d5cb0cf1f2,negotiation,500000,0.70,2026-04-18T12:19:00+08:00,,
91ef180e-df1e-5dad-22d7-f7c1af5bfcb4,dd491b0a-4610-99f1-5e1d-5406ea57b0f0,b0b77962-23de-25af-32ae-b613850750cd,negotiation,100000,0.85,2026-03-13T14:21:00+08:00,,
